id,title,price,promo_price,url
3405532,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952,7789,5999,https://www.detmir.ru/product/index/id/3405532/
3405614,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382,3229,2099,https://www.detmir.ru/product/index/id/3405614/
3758560,Конструктор LEGO Star Wars Легкий имперский крейсер 75315,16189,,https://www.detmir.ru/product/index/id/3758560/
3596713,Конструктор LEGO Mickey and Friends Магазин мороженого Минни 10773,1909,1599,https://www.detmir.ru/product/index/id/3596713/
3405596,Конструктор LEGO Super Heroes Воздушное нападение Вечных 76145,1189,,https://www.detmir.ru/product/index/id/3405596/
3596714,Конструктор LEGO Mickey and Friends Космическая ракета Микки и Минни 10774,1909,1599,https://www.detmir.ru/product/index/id/3596714/
3244480,Конструктор LEGO DUPLO Башенный кран на стройке 10933,11989,,https://www.detmir.ru/product/index/id/3244480/
4058545,Конструктор LEGO Disney Princess 43200,2029,,https://www.detmir.ru/product/index/id/4058545/
3405555,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446,4309,,https://www.detmir.ru/product/index/id/3405555/
3596884,Конструктор LEGO Грузовик для шоу каскадёров 60294,6589,5799,https://www.detmir.ru/product/index/id/3596884/
3200883,Конструктор LEGO Disney Frozen Олаф 41169,1299,649,https://www.detmir.ru/product/index/id/3200883/
3597030,Конструктор LEGO Super Heroes Корабль Стражей 76193,17749,,https://www.detmir.ru/product/index/id/3597030/
3985290,Конструктор LEGO Super Heroes Бэтмобиль Тумблер 76240,26389,,https://www.detmir.ru/product/index/id/3985290/
3596716,Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука 10940,3109,2499,https://www.detmir.ru/product/index/id/3596716/
618981,Конструктор LEGO Classic Строительная пластина зеленого цвета (10700),829,599,https://www.detmir.ru/product/index/id/618981/
3596876,Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros 42129,31189,,https://www.detmir.ru/product/index/id/3596876/
3620627,Конструктор LEGO City Wildlife Лагерь спасения дикой природы 60307,10789,8499,https://www.detmir.ru/product/index/id/3620627/
3597051,Конструктор LEGO Jurassic World Побег стигимолоха 76939,4429,3899,https://www.detmir.ru/product/index/id/3597051/
3200882,Конструктор LEGO Disney Frozen Шкатулка Эльзы 41168,4309,3869,https://www.detmir.ru/product/index/id/3200882/
3596757,Конструктор LEGO DUPLO Town Гараж и автомойка 10948,10789,8499,https://www.detmir.ru/product/index/id/3596757/
3597052,Конструктор LEGO Jurassic World Скелет тираннозавра на выставке 76940,3349,,https://www.detmir.ru/product/index/id/3597052/
3405582,Конструктор LEGO City Fire Пожарная машина с лестницей 60280,1789,1499,https://www.detmir.ru/product/index/id/3405582/
3596877,Конструктор LEGO Technic Бульдозер Cat D11T 42131,49189,,https://www.detmir.ru/product/index/id/3596877/
3405636,Конструктор LEGO Minecraft Коралловый риф 21164,1189,,https://www.detmir.ru/product/index/id/3405636/
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,1549,1299,https://www.detmir.ru/product/index/id/3233714/
3596756,Конструктор LEGO DUPLO Town Гоночные машины 10947,5389,3769,https://www.detmir.ru/product/index/id/3596756/
3405544,Конструктор LEGO Disney Princess Королевская карета Золушки 43192,4309,3869,https://www.detmir.ru/product/index/id/3405544/
3405599,Конструктор LEGO Super Heroes Взлёт Домо 76156,9589,,https://www.detmir.ru/product/index/id/3405599/
3405622,Конструктор LEGO Ninjago Деревня Хранителей 71747,5389,,https://www.detmir.ru/product/index/id/3405622/
3475287,Конструктор LEGO Friends Парк Хартлейк Сити 41447,4309,,https://www.detmir.ru/product/index/id/3475287/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,2989,,https://www.detmir.ru/product/index/id/3596755/
3596888,Конструктор LEGO City Stunt 60298,709,629,https://www.detmir.ru/product/index/id/3596888/
3599720,Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка) 43110,1789,799,https://www.detmir.ru/product/index/id/3599720/
3405598,Конструктор LEGO Super Heroes Вечные перед лицом Аришема 76155,7789,6899,https://www.detmir.ru/product/index/id/3405598/
3405628,Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов 71730,949,599,https://www.detmir.ru/product/index/id/3405628/
3596921,Конструктор LEGO City Wildlife 60302,10189,7999,https://www.detmir.ru/product/index/id/3596921/
3596878,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193,2389,,https://www.detmir.ru/product/index/id/3596878/
3092804,Конструктор LEGO DUPLO Town Рельсы (10882),2149,,https://www.detmir.ru/product/index/id/3092804/
3244544,Конструктор LEGO Minions Тренировочный полёт 75547,3589,,https://www.detmir.ru/product/index/id/3244544/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,5389,,https://www.detmir.ru/product/index/id/3596977/
3475282,Конструктор LEGO DUPLO Classic Веселый день рождения 10958,6589,4999,https://www.detmir.ru/product/index/id/3475282/
3596782,Конструктор LEGO Friends Школа Хартлейк Сити 41682,7789,,https://www.detmir.ru/product/index/id/3596782/
618971,Строительная пластина LEGO Classic Серая (10701),1549,1299,https://www.detmir.ru/product/index/id/618971/
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,3109,,https://www.detmir.ru/product/index/id/3596836/
